id,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3oAWTk92mZBxKBOKf8mR5v,Summertime Blues,1950,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,audio_features,spotify:track:3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/tracks/3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/audio-analysis/3oAWTk92mZBxKBOKf8mR5v,119360,4
507IFqPuG8mBQoKebfGG9t,Long Tall Sally (The Thing),1950,0.474,0.608,5,-5.139,1,0.0825,0.755,0.0,0.0928,0.888,184.694,audio_features,spotify:track:507IFqPuG8mBQoKebfGG9t,https://api.spotify.com/v1/tracks/507IFqPuG8mBQoKebfGG9t,https://api.spotify.com/v1/audio-analysis/507IFqPuG8mBQoKebfGG9t,127427,4
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,1950,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
3aPlQWU07jGgyHaBHVS5TS,Fever,1950,0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,audio_features,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,199600,4
2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,1950,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,audio_features,spotify:track:2WaYW84yWij5NSCpgSeU2R,https://api.spotify.com/v1/tracks/2WaYW84yWij5NSCpgSeU2R,https://api.spotify.com/v1/audio-analysis/2WaYW84yWij5NSCpgSeU2R,177400,4
64Ny7djQ6rNJspquof2KoX,Hound Dog,1950,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,audio_features,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/tracks/64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,136027,4
2drXvACELcvwryaFRiRPdA,Sh-Boom,1950,0.655,0.515,5,-7.726,1,0.0452,0.612,0.0,0.228,0.885,136.683,audio_features,spotify:track:2drXvACELcvwryaFRiRPdA,https://api.spotify.com/v1/tracks/2drXvACELcvwryaFRiRPdA,https://api.spotify.com/v1/audio-analysis/2drXvACELcvwryaFRiRPdA,144493,4
4I4aQGNJ2HufloNtB65nxR,That's Amore,1950,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,audio_features,spotify:track:4I4aQGNJ2HufloNtB65nxR,https://api.spotify.com/v1/tracks/4I4aQGNJ2HufloNtB65nxR,https://api.spotify.com/v1/audio-analysis/4I4aQGNJ2HufloNtB65nxR,190400,4
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",1950,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,audio_features,spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/tracks/5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/audio-analysis/5yQ9iMZXGcr5rlO4hoLsP4,307053,4
5TNpCThzzXHEipXGKgNG8T,Cheek To Cheek,1950,0.655,0.31,0,-13.4,1,0.0866,0.573,0.0,0.119,0.665,121.999,audio_features,spotify:track:5TNpCThzzXHEipXGKgNG8T,https://api.spotify.com/v1/tracks/5TNpCThzzXHEipXGKgNG8T,https://api.spotify.com/v1/audio-analysis/5TNpCThzzXHEipXGKgNG8T,353267,4
