id,song_name,artist,pic_url,preview_url,decade,release_year
7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,Paul Anka,https://i.scdn.co/image/ab67616d0000b27323e5822ae255ef170c40caf0,https://p.scdn.co/mp3-preview/bec3430010c1b3452628ba145a4ea56989a5c25f?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1966
40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin,https://i.scdn.co/image/ab67616d0000b273e122d21b6026da241cd33997,https://p.scdn.co/mp3-preview/a49adcdc296bf2d004f05c02d6266fade2073dcb?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
62eAoNfrrS84177LOzJMQx,Papa Loves Mambo,Perry Como,https://i.scdn.co/image/ab67616d0000b273f59578709fd742ab6a48dccb,https://p.scdn.co/mp3-preview/5d608551226ae776c0f90d719b0efc6486368b7b?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1975
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,https://i.scdn.co/image/ab67616d0000b273e9a522d43a304d4d433ff251,https://p.scdn.co/mp3-preview/dad94ca5005c094a9b81d005374044f67ebda6d4?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1964
1ntGJDSakqsaw1KhptKrB5,My Prayer,The Platters,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94,,1950,1956
06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino,https://i.scdn.co/image/ab67616d0000b27374e3823e9643fabc830851dd,,1950,1959
4gFlHAye7To29Fs4UszQUH,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,https://i.scdn.co/image/ab67616d0000b273bcaf6f097b310e20504f2de0,,1950,1956
0ZvgXNstN4o2ZXPomtBYVp,"Good Golly, Miss Molly",Little Richard,https://i.scdn.co/image/ab67616d0000b273cc4c510d6d19a2d03e2fc757,,1950,1969
0VE4ayVlGs5DBoqOdgJ0Zv,Donna - Single Version,Ritchie Valens,https://i.scdn.co/image/ab67616d0000b2737723fdc89d8e25e65aa6730d,https://p.scdn.co/mp3-preview/fe07fc82f9bd7fdbe647b416a3c1e454e0d58ce3?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
1KLpjQFgubHI3GkAICCNH3,Dream Lover,Bobby Darin,https://i.scdn.co/image/ab67616d0000b27332ca9d1b933d95925e170c90,https://p.scdn.co/mp3-preview/f5f7c1cd134666b88bdffd58b4107094c1b16fe2?cid=f4f54a850da14f27a6e2b44603fe8013,1950,2004
